Restaurant,Burrito Name,Menu Name,Type,Taco/Burrito,Date,Neighborhood,Address,Full Address,URL,Yelp,Google,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes
California Burritos,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42832,Linda Vista,7754 Starling Dr,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,6.5,3.5,3.75,5,3,3,4.5,4.5,3.5,3,4.5,3.25,Ricardo,
Cancun Mexican & Seafood,California,California Burrito,California,Burrito,42449,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,6.95,4.5,2,5,3.5,4,2.5,5,3.5,2.5,4,3.75,Alex,Heart-stopping amount of cheese. Second tortilla of cheese
Cancun Mexican & Seafood,Machaca,Machaca Burrito,Carne Asada / Beef,Burrito,42449,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,7.65,3,2,4,3,3,4,2,4,2,3,3.5,Richard,Hot carrots
Cancun Mexican & Seafood,Adobada,Adobada Burrito,Carnitas / Pork,Burrito,42622,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,7.3,3,3,4.5,3.5,3,3,2,3.5,2.5,4.5,3.5,Tom,
Cancun Mexican & Seafood,California,California Burrito,California,Burrito,42622,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,8.59,2.5,4,4.5,3.5,5,2.5,2,4,4.5,4,4.3,Scott,
Cancun Mexican & Seafood,California ,California Burrito,California,Burrito,42691,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,8.59,3.5,4.5,4.5,4,4.5,4,4,4,4.5,5,4.5,Brad,
Cancun Mexican & Seafood,California ,California Burrito,California,Burrito,42691,Encinitas,1766 N Coast Hwy,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,4.5,4.1,7.99,3.5,4,4,2,3,1.5,3,2.5,1,3,2.5,Scott,Bland
Carmen's Mexican Food,Adobada,Adobada Burrito,Carnitas / Pork,Burrito,42601,Clairemont,4937 Diane Ave,"4937 Diane Ave, Clairemont CA",https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4,4.2,9.99,3,4,4.5,3.5,4,3,2,2.5,3.5,4,4,Emily,Fries are good
Carmen's Mexican Food,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42601,Clairemont,4937 Diane Ave,"4937 Diane Ave, Clairemont CA",https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4,4.2,8.25,3.5,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4,Scott,
Chili Peppers,Surf and Turf,Surf and Turf Burrito,Seafood,Burrito,42518,San Diego,10425 Tierrasanta Blvd,"10425 Tierrasanta Blvd, San Diego CA",,,,7.95,2.5,2.5,2.5,4,3.5,3,2.5,3,3,5,3.3,Emily,
Chipotle,Custom,Custom Burrito,Specialty,Burrito,42512,Carlsbad,2505 Palomar airport Rd,"2505 Palomar airport Rd, Carlsbad CA",https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,3,4.2,7.95,2,4,5,4,4,3,5,3,3,5,4,Tara,
Chipotle,Carnitas,Carnitas Burrito,Carnitas / Pork,Burrito,42626,Carlsbad,2505 Palomar airport Rd,"2505 Palomar airport Rd, Carlsbad CA",https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,3,4.2,8.75,3,4,5,3,5,3,2,4,3,5,4,Andy,
Colima's Mexican Food,Colimas burrito,Colimas Burrito,Specialty,Burrito,42521,North Park,2302 University Ave,"2302 University Ave, North Park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,6.6,3,3,4.5,4,4.5,4,4.5,4.5,5,4.5,4.5,Scott,
Colima's Mexican Food,Hawaiian,Hawaiian Burrito,Specialty,Burrito,42432,North Park,2302 University Ave,"2302 University Ave, North Park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,6.6,3,4,5,5,5,5,4,,4.5,5,4.5,Tara,
Colima's Mexican Food,Bandido,Bandido Burrito,Specialty,Burrito,42432,North Park,2302 University Ave,"2302 University Ave, North Park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,6.6,3,3,5,3.5,3,4.5,2.5,3,4,4,3.6,Scott,Too much enchilada sauce this time
Colima's Mexican Food,Bandido,Bandido Burrito,Specialty,Burrito,42432,North Park,2302 University Ave,"2302 University Ave, North Park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,7.45,3.5,3,5,3.5,2.5,3,2.5,3.75,3,4,3,Bankole,Would have enjoyed it more if wasn't rating; shrimp better than meat. Quality of the shrimp really improves the burrito. Well cooked and fresh. Shrimp could have had more flavor
Cortez Mexican Food,California ,California Burrito,California,Burrito,42650,Bonsall,5517 Mission Rd,"5517 Mission Rd, Bonsall CA",https://www.yelp.com/biz/cortez-mexican-food-bonsall,4.2,4,6.6,3.5,3.5,3,4,4.5,3,1,3,4,0.5,2.8,Scott,"Salsa Fresca is good, way too small"
Cotixan,California,California Burrito,California,Burrito,42789,Clairemont,4370 Genessee Ave,"4370 Genessee Ave, Clairemont CA",https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego,4,4,6.6,3,3,2.5,3,4,2,1,3,3,5,3,Emily,
Cotixan,California,California Burrito,California,Burrito,42902,Clairemont,4370 Genessee Ave,"4370 Genessee Ave, Clairemont CA",https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego,4,4,7.89,3.5,3,2,4.5,4,4,1.5,4.5,4.5,4.5,4.4,Scott,Too small 
Don Carlos Taco Shop,California,California Burrito,California,Burrito,42864,La Jolla,737 Pearl St,"737 Pearl St, La Jolla CA",https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla,4,4.5,7.89,2,3,2.5,4.5,3.5,4.5,3,4,3.5,5,3.5,Richard,A little small. No rice and beans or cheese or sour cream
Don Carlos Taco Shop,California,California Burrito,California,Burrito,42864,La Jolla,737 Pearl St,"737 Pearl St, La Jolla CA",https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla,4,4.5,6.25,4,4.5,4.5,2.5,3.5,3.5,3.5,3,4,5,4.1,Scott,
